,title,label,emotion,score
196,Chris Christie losing home-state donors as Jeb Bush makes inroads,REAL,sadness,0.4541299641132355
197,Washington Home Depot store receives order for five-thousand gallons of gold exterior paint,FAKE,neutral,0.6027326583862305
198,Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,FAKE,neutral,0.22608770430088043
199,Can Sanders rally supporters around Clinton after DNC email leak?,REAL,neutral,0.6758992671966553
200,'Historic' climate deal in sight as nations parse final text,REAL,neutral,0.790286123752594
201,We Live In A Time Where Each Individual Has Immense Power,FAKE,neutral,0.9046909809112549
202,"Trump slams 'corrupt' media, as more women make sexual assault claims",REAL,anger,0.5345998406410217
203,Only Demented Imbeciles Want A Killary Reign Of Terror,FAKE,fear,0.6982757449150085
204,This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,FAKE,neutral,0.875505805015564
205,Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism,FAKE,disgust,0.3929513394832611
206,The 5 unspoken rules for covering Hillary Clinton,REAL,neutral,0.8034734725952148
207,"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",FAKE,sadness,0.4484769105911255
208,Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology,FAKE,neutral,0.8039992451667786
209,Jubilee Year of Mercy ends on November 20. Following Judgment?,FAKE,neutral,0.7415691614151001
210,Iraq launches operation against ISIS in Anbar province,REAL,fear,0.7952320575714111
211,UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,FAKE,fear,0.9200823307037354
212,Justices Kennedy and Scalia and their divide on gay rights,REAL,neutral,0.4303911626338959
213,Justice Clarence Thomas Describes Washington DC As “Broken”,FAKE,sadness,0.5195220708847046
214,"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",FAKE,joy,0.5748298168182373
215,Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace',REAL,neutral,0.901785671710968
216,"John Kasich: He’s Conservative, but at Least He’s Sane",REAL,neutral,0.5617231130599976
217,2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,REAL,disgust,0.3343918025493622
218,Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack,REAL,fear,0.9795014262199402
219,8 classic football banners of our time,FAKE,neutral,0.462283730506897
220,Tweetwave,FAKE,neutral,0.8014587163925171
221,Trump’s Gettysburg Address against the New World Order,FAKE,anger,0.5229820013046265
222,Debate Goals for the Democratic Candidates,REAL,neutral,0.8911553025245667
223,'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred,REAL,neutral,0.6430014371871948
224,A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History,REAL,neutral,0.7870349287986755
225,Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It,FAKE,anger,0.9751800298690796
226,Dems sue GOP over Trump's 'rigged' complaints,FAKE,anger,0.8703266978263855
227,US Airstrikes on Iraqi Army Slowing Advance on Mosul,FAKE,fear,0.5328227877616882
228,Iran letter blowback startles GOP,REAL,fear,0.5014500021934509
229,"Clinton Camp Desperate, Russia Trains for WWIII",FAKE,sadness,0.43072330951690674
230,Donald Trump's GOP civil war,REAL,anger,0.48010560870170593
231,Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines,FAKE,fear,0.9622524380683899
232,Laura Bush hints she'd rather see Hillary as president,REAL,neutral,0.6114569306373596
233,"Scott Walker, Rick Perry show limits of super PACs",REAL,neutral,0.7802783846855164
234,If Catcalls Were Politically Correct…,FAKE,anger,0.42620882391929626
235,Why Hillary Won't Unleash WWIII    : Information,FAKE,fear,0.47187209129333496
236,Is It Time To Reconsider Lifetime Appointments To The Supreme Court?,REAL,neutral,0.837774932384491
237,"Clinton has delegates to win Dem nomination, AP reports; Sanders questions tally",REAL,neutral,0.780098557472229
238,Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!',FAKE,anger,0.7750908136367798
239,"Trump says Obama born in US, ‘period’ – after new ‘birther’ dust-up",REAL,neutral,0.7770078182220459
240,"MH370: If debris is part of missing plane, what's next?",REAL,fear,0.45729342103004456
241,GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014,FAKE,surprise,0.7789846062660217
242,Israel stole classified US information and used it to help congressional Republicans,REAL,anger,0.6475276947021484
243,"""America has a simple ideology"": how one of Russia's top US experts explains America",REAL,neutral,0.9078118205070496
244,Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again,REAL,surprise,0.4673786759376526
245,"Chaos on House floor as Dems, Republicans clash over LGBT proposal",REAL,fear,0.5175697803497314
246,"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse",FAKE,disgust,0.867344856262207
247,"Clinton, Sanders accuse Trump of inciting violence",REAL,anger,0.945403516292572
248,Memo to the Next Administration: Defense Spending Must Be For Actual Defense,FAKE,neutral,0.897490918636322
249,"In New Responses, Hillary Clinton Insists Email Setup A Matter Of 'Convenience'",REAL,neutral,0.6801601648330688
250,Trump mulls alternative options for making Mexico finance 'the wall',REAL,neutral,0.4550851285457611
251,The circus of liars - America's three rings of evil clowns,FAKE,neutral,0.4319121837615967
252,"Donald Trump said ‘university’ was all about education. Actually, its goal was: ‘Sell, sell, sell!’",REAL,disgust,0.3511195480823517
253,Trump Has Forever Changed American Politics,FAKE,neutral,0.7270615100860596
254,Kerry Adviser Marie Harf in Twitter Fight Over Iran Nukes,REAL,anger,0.7443129420280457
255,"The role of the US and Nato in EU relations with China, by Manlio Dinucci",FAKE,neutral,0.6599836945533752
256,The Daily 202: Many African Americans unenthusiastically ‘settle’ for Hillary Clinton,REAL,neutral,0.4384910762310028
257,"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",REAL,surprise,0.6208747625350952
258,Trump The President: What Does That Mean For The World? - CounterCurrents.org,FAKE,neutral,0.49543312191963196
259,"'You've been fleeced': Congress grills Kerry, Obama officials on Iran nuke deal",REAL,disgust,0.7327916026115417
260,"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton",REAL,neutral,0.8008318543434143
261,Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog,FAKE,anger,0.3565928339958191
262,FOX News Just Admitted It Made Up Story About Hillary Being “Indicted” For Foundation,FAKE,neutral,0.4108707010746002
263,Repudiating the Media,FAKE,disgust,0.8552519679069519
264,Buchanan Smashes CNN Shill,FAKE,fear,0.6037157773971558
265,The Impossible Is Happening: Cubs Win World Series and Yes… Hillary Clinton is Now Likely to be Indicted,FAKE,neutral,0.42508500814437866
266,America After Election 2016: the Gullible and the Shattered - David Kerans,FAKE,neutral,0.5734447836875916
267,Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO),FAKE,neutral,0.6742351651191711
268,‘Schlonged!’ NYT: FBI reopened Hillary probe thanks to … ANTHONY WEINER?,FAKE,surprise,0.5087414383888245
269,What do Americans really think of election coverage?,REAL,neutral,0.7643607258796692
270,Exclusive: Siege of Islamabad,FAKE,neutral,0.46813178062438965
271,The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trump’s 40%,FAKE,neutral,0.6938475370407104
272,Lynch schools the wingnuts: How the right tried — and failed — to wound Obama’s AG nominee,REAL,neutral,0.6301607489585876
273,"Yes, Ted Cruz could win",REAL,neutral,0.734063446521759
274,"‘Can’t build a wall, hands too small!’ – NYC anti-Trump protest (Streamed live)",FAKE,anger,0.858680784702301
275,Trump advisors try to pivot not fishtail,REAL,neutral,0.8953174352645874
276,"Christians drop, 'nones' soar in new religion portrait",REAL,neutral,0.5888827443122864
277,Comment on Brother of Clinton’s Campaign Chair is an Active Foreign Agent on the Saudi Arabian Payroll by marlene,FAKE,neutral,0.8854595422744751
278,Inside the Deliberations of a Hillary Clinton Campaign Launch,REAL,disgust,0.7043620944023132
279,American Express disowns Pink Floyd singer Roger Waters because of pro-Palestinian views,FAKE,sadness,0.800327718257904
280,Clinton condemns Trump over Chicago violence,REAL,sadness,0.5503526926040649
281,"In France, a growing debate over why some speech is protected and some isn’t",REAL,anger,0.4770973026752472
282,President-Elect Donald Trump's First Televised Interview Since He Won the Election     : Information,FAKE,fear,0.3113880455493927
283,North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,FAKE,neutral,0.9335364103317261
284,Russia reacts to UN aid chief's Aleppo 'kill zone' remarks,FAKE,anger,0.6113125681877136
285,Representative Government or Thugocracy?,FAKE,neutral,0.6965940594673157
286,Gay rights and religious liberty: Can Americans have both?,REAL,neutral,0.8448837399482727
287,"As Rand Paul stalls, Ted Cruz seeks to pick up support among libertarians",REAL,neutral,0.7748220562934875
288,“A dream come true for Hillary Clinton”: Wall Street Journal editorial board rips Ted Cruz,REAL,neutral,0.7254465818405151
289,Obama Presses Putin to Strike Ukraine Peace Deal,REAL,neutral,0.6211022138595581
290,"Trumka: Disappointment with Obama, a warning for Hillary",REAL,sadness,0.7022474408149719
291,Pro-Palestinian Propaganda Lowering Standards of Truth in America,FAKE,disgust,0.6116743683815002
292,Wingnuts have a death-grip on Congress: Why Paul Ryan can’t control the House GOP,REAL,neutral,0.41884130239486694
